5,Intangible,Intangible,Intangível
5,Inconcrete,Inconcreto,Increto
5,Immaterial,Inmaterial,Intangível
5,Theoretical,Teórico,Teórico
5,Complex,Complejo,Complexo
5,Mild,Leve,Leve
5,Ethereal,Etéreo,Etéreo
5,Spiritual,Espiritual,Espiritual
5,Incorporeal,Incorpóreo,Incorpóreo
5,Unreal,Irreal,Irreal
5,Generic,Genérico,Genérico
5,Ideal,Ideal,Ideal
5,Indeterminate,Indeterminado,Indeterminado
5,Pure,Puro,Puro
5,Uncertain,Incierto,Incerto
5,Fantastic,Fantástico,Fantástico
5,Imaginary,Imaginario,Imaginário
5,Illusory,Ilusorio,Ilusório
5,Hypothetical,Hipotético,Hipotético
5,Metaphysical,Metafísico,Metafísico
5,Apparent,Aparente,Aparente
5,Chimerical,Quimérico,Quimérico
5,Utopian,Utópico,Utópico
5,Speculative,Especulativo,Especulativo
5,Figurative,Figurado,Figurativo
5,Inside,Interior,Interior
5,Psychic,Anímico,Psíquico
5,Moral,Moral,Moral
5,Abstruse,Abstruso,Abstruso
5,Unintelligible,Ininteligible,Ininteligível
5,Incomprehensible,Incomprensible,Incompreensível
5,Abstraction,Abstracción,Abstração
5,Theory,Teoría,Teoria
5,Imagination,Imaginación,Imaginação
5,Fantasy,Fantasía,Fantasia
5,Unreality,Irrealidad,Irrealidade
5,Immateriality,Inmaterialidad,Imaterialidade
5,Metaphysics,Metafísica,Metafísica
5,Hypothesis,Hipótesis,Hipótese
5,Belief,Creencia,Crença
5,Chimera,Quimera,Quimera
5,Utopia,Utopía,Utopia
5,Idea,Idea,Idea
5,Thought,Pensamiento,Pensando
5,Fiction,Ficción,Ficção
5,Speculation,Especulación,Especulação
5,Dream,Sueño,Sonho
5,Mirage,Espejismo,Miragem
5,Delusion,Ilusión,Ilusão
5,Entelechy,Entelequia,Entelequia
5,Hallucination,Alucinación,Alucinação
5,Idealism,Idealismo,Idealismo
5,Myth,Mito,Mito
5,Representation,Representación,Representação
5,Assumption,Suposición,Suposição
5,Guess,Conjetura,Conjectura
5,Possibility,Posibilidad,Possibilidade
5,Enfrascamiento,Enfrascamiento,Enfrascamiento
5,Absorption,Ensimismamiento,Auto-absorção
5,Reflection,Reflexión,Reflexão
5,Abstract,Abstraer,Resumo
5,Theorize,Teorizar,Teorizar
5,Imagine,Imaginar,Imagine
5,Speculate,Especular,Especular
5,Devise,Idear,Idear
5,Fantasize,Fantasear,Fantasiar
5,Lucubrate,Elucubrar,Sonhar
5,Reason,Discurrir,Discurso
5,Figure,Figurarse,Aparecer
5,Suppose,Suponer,Supor
5,Sound,Soñar,Sonho
5,To evoke,Evocar,Evocar
5,Idealize,Idealizar,Idealize
5,Hallucinate,Alucinarse,Alucinado
5,Illusion,Ilusionarse,Ilusão
5,Fancy yourself,Antojarse,Imagine-se
5,Contemplate,Contemplar,Contemplar
5,Examine,Examinar,Examine
5,Abstract,Abstraerse,Resumo
5,Encased,Enfrascarse,Encapsulado
5,To meditate,Meditar,Meditar
5,Remain,Ensimismarse,Permanecer
5,Abstracted,Abstraído,Abstraído
5,Thoughtful,Meditabundo,Meditabundo
5,Absorbed,Absorto,Absorvido
